id,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,cb_person_cred_hist_length,credit_score
257,24.0,male,Bachelor,91184.0,1,RENT,3.0,668
258,23.0,female,High School,91886.0,1,RENT,4.0,544
259,23.0,male,Associate,80452.0,2,RENT,2.0,699
260,25.0,female,Bachelor,108758.0,2,RENT,4.0,611
261,21.0,male,Associate,18916.0,0,OWN,2.0,615
262,26.0,female,High School,217234.0,5,OWN,4.0,559
263,24.0,female,High School,217017.0,0,OWN,3.0,577
264,25.0,male,High School,216874.0,1,OWN,4.0,657
265,26.0,male,Associate,216833.0,5,OWN,4.0,676
266,25.0,male,Bachelor,216483.0,0,MORTGAGE,2.0,601
267,23.0,female,Master,19000.0,2,OWN,4.0,647
268,23.0,female,Master,94363.0,0,RENT,3.0,576
269,25.0,male,Master,80570.0,3,RENT,4.0,612
270,23.0,male,Bachelor,109167.0,0,RENT,3.0,678
271,24.0,female,Associate,95753.0,1,RENT,4.0,542
272,24.0,female,Associate,110935.0,1,RENT,3.0,709
273,25.0,male,Associate,111490.0,2,RENT,3.0,622
274,24.0,male,Associate,111729.0,4,RENT,4.0,642
275,23.0,female,High School,113396.0,0,RENT,4.0,660
276,23.0,female,Bachelor,19175.0,1,MORTGAGE,3.0,587
277,23.0,female,High School,85787.0,0,RENT,4.0,646
278,25.0,female,Master,102114.0,7,RENT,3.0,637
279,26.0,male,Bachelor,211005.0,5,MORTGAGE,4.0,718
280,25.0,male,Master,210903.0,4,MORTGAGE,2.0,588
281,22.0,male,Associate,210555.0,0,MORTGAGE,2.0,652
282,23.0,male,Bachelor,210937.0,0,MORTGAGE,3.0,620
283,23.0,male,High School,19062.0,2,OWN,4.0,667
284,23.0,female,Associate,18926.0,0,OWN,2.0,688
285,22.0,male,Associate,106694.0,0,RENT,2.0,667
286,25.0,male,Master,90718.0,4,RENT,2.0,692
287,25.0,male,Bachelor,106668.0,1,RENT,4.0,562
288,25.0,male,High School,19158.0,4,OWN,4.0,625
289,26.0,male,High School,106419.0,5,RENT,3.0,649
290,25.0,female,High School,120696.0,3,RENT,4.0,545
291,23.0,male,High School,19065.0,3,MORTGAGE,4.0,540
292,24.0,female,Associate,124083.0,0,RENT,3.0,637
293,24.0,male,Associate,111673.0,4,RENT,4.0,600
294,23.0,male,High School,112633.0,1,RENT,2.0,633
295,22.0,male,High School,210938.0,0,RENT,2.0,588
296,23.0,female,Associate,210720.0,2,MORTGAGE,3.0,624
297,25.0,male,High School,210705.0,7,RENT,3.0,525
298,25.0,male,High School,209997.0,3,MORTGAGE,3.0,616
299,26.0,female,Master,209873.0,3,RENT,4.0,675
300,25.0,female,Associate,195268.0,1,MORTGAGE,3.0,662
301,26.0,male,Master,209393.0,2,MORTGAGE,4.0,585
302,21.0,male,Master,18773.0,0,OWN,3.0,686
303,25.0,female,Bachelor,116439.0,2,RENT,4.0,595
304,21.0,female,Associate,19169.0,2,MORTGAGE,2.0,537
305,24.0,female,High School,118417.0,0,RENT,2.0,625
306,26.0,female,High School,133476.0,0,RENT,2.0,641
307,23.0,female,Associate,19312.0,4,MORTGAGE,3.0,661
308,25.0,male,High School,192351.0,1,RENT,4.0,577
309,24.0,male,Bachelor,206648.0,4,RENT,4.0,537
310,25.0,female,High School,205046.0,6,MORTGAGE,4.0,646
311,24.0,male,High School,190735.0,1,RENT,2.0,653
312,26.0,female,Associate,204872.0,3,RENT,3.0,654
313,24.0,male,Associate,100758.0,0,RENT,2.0,635
314,24.0,female,Master,133231.0,3,RENT,2.0,675
315,22.0,female,Master,18923.0,0,OWN,3.0,618
316,25.0,female,Master,161894.0,0,RENT,2.0,609
317,25.0,female,Bachelor,205144.0,0,MORTGAGE,2.0,545
318,22.0,female,High School,121617.0,2,RENT,2.0,629
319,25.0,male,Associate,136206.0,6,RENT,4.0,539
320,24.0,male,Master,144915.0,4,RENT,4.0,593
321,25.0,female,High School,145233.0,3,RENT,2.0,683
322,23.0,male,Bachelor,145002.0,1,RENT,2.0,670
323,24.0,male,Master,110953.0,0,RENT,2.0,662
324,21.0,female,High School,19414.0,2,OWN,4.0,681
325,26.0,male,High School,130096.0,1,RENT,3.0,636
326,26.0,male,Master,157292.0,0,RENT,3.0,677
327,23.0,female,Bachelor,156995.0,3,RENT,2.0,656
328,23.0,female,Associate,156952.0,0,RENT,4.0,674
329,25.0,female,Associate,205005.0,6,OWN,4.0,587
330,26.0,female,Bachelor,205060.0,2,MORTGAGE,2.0,658
331,22.0,male,High School,203782.0,4,RENT,3.0,581
332,26.0,male,High School,203368.0,3,RENT,3.0,606
333,23.0,female,Associate,203403.0,0,RENT,3.0,648
334,24.0,female,Associate,202715.0,3,RENT,3.0,563
335,25.0,female,Master,202525.0,1,MORTGAGE,2.0,589
336,24.0,male,Associate,161487.0,1,RENT,2.0,641
337,24.0,male,Associate,19677.0,3,OWN,4.0,637
338,24.0,male,High School,161952.0,2,RENT,3.0,578
339,25.0,female,Bachelor,161560.0,0,RENT,2.0,660
340,25.0,male,High School,19423.0,3,OWN,2.0,586
341,25.0,male,Associate,163134.0,5,RENT,4.0,567
342,26.0,female,Bachelor,163683.0,5,RENT,4.0,582
343,25.0,female,Bachelor,174972.0,3,RENT,4.0,712
344,23.0,male,High School,181016.0,4,RENT,3.0,674
345,23.0,female,Master,198920.0,0,MORTGAGE,3.0,532
346,22.0,female,Master,184800.0,1,MORTGAGE,2.0,670
347,24.0,male,Master,198862.0,6,MORTGAGE,4.0,658
348,25.0,male,Associate,199407.0,0,MORTGAGE,4.0,669
349,21.0,male,Bachelor,198803.0,0,MORTGAGE,4.0,681
350,23.0,male,Associate,20044.0,3,OWN,2.0,618
351,23.0,female,Bachelor,20401.0,4,MORTGAGE,4.0,573
352,23.0,female,High School,19859.0,0,OWN,3.0,491
353,23.0,male,Master,178660.0,2,RENT,3.0,590
354,23.0,female,High School,20421.0,0,MORTGAGE,4.0,587
355,24.0,male,Master,20353.0,2,OWN,2.0,648
356,22.0,male,Master,20297.0,0,MORTGAGE,3.0,687
357,25.0,male,Bachelor,210932.0,0,RENT,2.0,621
358,22.0,female,High School,20405.0,0,OWN,3.0,590
359,24.0,male,Associate,223194.0,0,RENT,2.0,676
360,25.0,female,Associate,195560.0,0,RENT,2.0,677
361,26.0,male,Bachelor,194140.0,6,RENT,4.0,651
362,22.0,male,High School,193337.0,0,MORTGAGE,4.0,602
363,25.0,male,High School,270992.0,2,RENT,4.0,652
364,25.0,male,Associate,20221.0,5,OWN,4.0,572
365,23.0,male,Bachelor,20678.0,0,OWN,4.0,528
366,25.0,female,High School,60742.0,3,RENT,3.0,638
367,23.0,female,High School,72805.0,2,RENT,3.0,655
368,24.0,male,Master,102011.0,3,RENT,4.0,627
369,22.0,male,High School,20896.0,0,MORTGAGE,2.0,596
370,24.0,female,Bachelor,111283.0,0,RENT,4.0,694
371,23.0,female,Associate,192873.0,0,MORTGAGE,2.0,684
372,24.0,female,Bachelor,193174.0,0,MORTGAGE,4.0,547
373,25.0,female,Bachelor,193249.0,0,MORTGAGE,4.0,586
374,26.0,female,Bachelor,192954.0,5,RENT,4.0,694
375,25.0,male,Master,152227.0,2,MORTGAGE,4.0,639
376,25.0,female,Bachelor,65399.0,0,RENT,4.0,663
377,23.0,female,High School,75928.0,4,RENT,4.0,528
378,24.0,male,Bachelor,21627.0,0,MORTGAGE,3.0,636
379,25.0,male,High School,83235.0,3,RENT,4.0,603
380,26.0,male,High School,68297.0,3,RENT,2.0,507
381,22.0,male,Master,89977.0,3,RENT,2.0,692
382,24.0,female,Associate,79510.0,2,RENT,2.0,604
383,24.0,female,Bachelor,109050.0,5,RENT,3.0,622
384,26.0,female,Bachelor,94635.0,2,RENT,3.0,643
385,23.0,male,High School,120966.0,0,RENT,2.0,565
386,23.0,male,Master,124437.0,0,RENT,2.0,718
387,25.0,male,Bachelor,193147.0,3,MORTGAGE,3.0,625
388,25.0,male,Bachelor,192914.0,0,OWN,4.0,614
389,24.0,female,Bachelor,192806.0,2,MORTGAGE,3.0,690
390,23.0,male,High School,193097.0,0,MORTGAGE,2.0,564
391,26.0,female,Associate,193082.0,5,MORTGAGE,4.0,579
392,21.0,female,High School,192841.0,1,MORTGAGE,4.0,648
393,25.0,male,Master,193300.0,3,MORTGAGE,2.0,531
394,22.0,male,Associate,21205.0,0,MORTGAGE,2.0,658
395,25.0,female,Bachelor,135292.0,3,RENT,3.0,574
396,21.0,male,High School,21363.0,2,MORTGAGE,4.0,671
397,25.0,male,High School,139035.0,7,RENT,2.0,633
398,23.0,male,High School,173511.0,0,RENT,3.0,631
399,23.0,male,Associate,345520.0,0,RENT,3.0,652
400,22.0,female,Bachelor,130762.0,3,RENT,3.0,683
401,22.0,female,Bachelor,52596.0,0,RENT,3.0,693
402,23.0,female,Bachelor,57326.0,2,RENT,4.0,603
403,24.0,female,High School,58262.0,1,RENT,2.0,522
404,26.0,female,High School,58620.0,4,RENT,3.0,664
405,21.0,female,Master,55113.0,0,RENT,2.0,645
406,25.0,male,Bachelor,63361.0,2,RENT,2.0,592
407,22.0,female,Associate,22107.0,4,MORTGAGE,3.0,636
408,24.0,female,Bachelor,57356.0,3,RENT,2.0,672
409,22.0,female,Bachelor,21790.0,0,MORTGAGE,2.0,686
410,22.0,female,High School,59680.0,0,RENT,4.0,590
411,26.0,female,Master,72720.0,2,RENT,4.0,636
412,25.0,female,High School,73024.0,5,RENT,4.0,580
413,22.0,male,Bachelor,73110.0,0,RENT,3.0,674
414,21.0,female,Associate,72902.0,0,RENT,2.0,601
415,26.0,female,High School,75416.0,4,RENT,3.0,620
416,22.0,male,Master,75959.0,0,RENT,2.0,642
417,26.0,male,Associate,79222.0,7,RENT,2.0,616
418,22.0,female,Associate,21824.0,0,MORTGAGE,3.0,588
419,23.0,male,High School,71875.0,1,RENT,2.0,585
420,23.0,male,Bachelor,80313.0,1,RENT,4.0,632
421,24.0,male,High School,72647.0,5,RENT,4.0,556
422,25.0,male,Bachelor,80492.0,4,RENT,3.0,602
423,22.0,male,High School,75646.0,0,RENT,4.0,639
424,24.0,male,Associate,85223.0,3,RENT,4.0,603
425,23.0,male,Associate,89735.0,2,RENT,2.0,689
426,22.0,male,High School,22364.0,4,OWN,4.0,672
427,22.0,female,Master,90780.0,2,RENT,4.0,499
428,24.0,male,Bachelor,90889.0,1,RENT,3.0,643
429,24.0,male,Bachelor,90911.0,2,RENT,3.0,589
430,26.0,male,Master,83953.0,2,RENT,3.0,646
431,23.0,male,Associate,94644.0,1,RENT,3.0,613
432,22.0,female,High School,22616.0,0,OWN,3.0,567
433,24.0,female,Bachelor,96989.0,4,RENT,2.0,603
434,22.0,female,Associate,22867.0,3,OWN,4.0,647
435,23.0,female,Master,22583.0,1,OWN,2.0,645
436,23.0,female,Bachelor,90900.0,0,RENT,2.0,672
437,26.0,female,Master,107641.0,6,RENT,3.0,648
438,25.0,male,High School,114870.0,4,RENT,2.0,653
439,22.0,male,Bachelor,100479.0,0,RENT,3.0,590
440,25.0,female,Master,114958.0,2,RENT,4.0,704
441,21.0,female,Master,22882.0,0,OWN,4.0,674
442,21.0,female,Bachelor,22392.0,0,OWN,2.0,594
443,26.0,female,High School,120498.0,5,RENT,4.0,626
444,24.0,female,Master,132873.0,2,RENT,4.0,701
445,24.0,male,Associate,22635.0,3,OWN,4.0,602
446,22.0,female,Associate,118299.0,0,RENT,2.0,503
447,26.0,female,Associate,125665.0,5,RENT,4.0,657
448,22.0,female,High School,144904.0,0,RENT,4.0,638
449,24.0,female,Bachelor,144882.0,2,RENT,4.0,646
450,26.0,male,Associate,130649.0,4,RENT,3.0,678
451,24.0,male,Master,149622.0,4,RENT,4.0,684
452,23.0,male,Bachelor,22957.0,1,MORTGAGE,2.0,594
453,24.0,male,Master,157225.0,1,RENT,3.0,538
454,25.0,female,Bachelor,163004.0,3,RENT,2.0,662
455,24.0,male,High School,163035.0,2,RENT,2.0,636
456,23.0,male,Master,138731.0,0,RENT,3.0,613
457,23.0,female,Associate,180804.0,1,RENT,4.0,573
458,23.0,male,Master,166378.0,0,RENT,2.0,714
459,24.0,male,Associate,22684.0,0,OWN,3.0,640
460,21.0,male,Bachelor,22366.0,0,OWN,4.0,637
461,26.0,female,High School,187161.0,7,RENT,4.0,633
