person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,cb_person_cred_hist_length,credit_score,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,previous_loan_defaults_on_file,loan_status,rate_x_pct_income,loan_burden,has_prev_defaults
23.0,female,Master,166754.7,5,MORTGAGE,3.0,670,24000.0,DEBTCONSOLIDATION,10.65,0.05,Yes,0,0.5325,0.1593,1
23.0,male,Bachelor,144943.0,0,RENT,4.0,663,24000.0,EDUCATION,7.9,0.24,No,0,1.896,0.1787,0
23.0,female,High School,111369.0,0,RENT,4.0,694,24000.0,MEDICAL,20.0,0.31,No,1,6.2,0.2586,0
23.0,male,Bachelor,136628.0,0,RENT,4.0,709,24000.0,DEBTCONSOLIDATION,18.25,0.26,No,1,4.745,0.2077,0
24.0,female,Master,28366.7,1,MORTGAGE,2.0,679,2000.0,EDUCATION,10.99,0.12,No,1,1.3188,0.0783,0
25.0,male,Bachelor,166754.7,0,RENT,4.0,684,24000.0,VENTURE,7.49,0.18,Yes,0,1.3482,0.1547,1
25.0,male,High School,165792.0,4,RENT,2.0,662,24000.0,PERSONAL,16.77,0.21,No,0,3.5217,0.169,0
22.0,female,Master,79255.0,0,RENT,4.0,691,24000.0,EDUCATION,17.58,0.43,No,1,7.5594,0.3561,0
24.0,female,Bachelor,28366.7,0,OWN,3.0,600,2000.0,PERSONAL,7.29,0.11,Yes,0,0.8019,0.0756,1
22.0,male,Bachelor,97420.0,1,RENT,4.0,691,24000.0,PERSONAL,14.54,0.35,No,1,5.089,0.2822,0
24.0,female,High School,82443.0,0,RENT,3.0,654,24000.0,HOMEIMPROVEMENT,12.68,0.4,No,1,5.072,0.328,0
21.0,female,Associate,28366.7,0,MORTGAGE,3.0,626,4575.0,VENTURE,17.74,0.32,No,1,5.6768,0.1899,0
23.0,male,High School,28366.7,0,OWN,3.0,607,2000.0,PERSONAL,9.32,0.1,No,0,0.932,0.0771,0
24.0,female,Bachelor,79054.0,1,RENT,3.0,700,24000.0,HOMEIMPROVEMENT,9.99,0.41,No,1,4.0959,0.3339,0
21.0,female,Bachelor,28366.7,0,OTHER,2.0,553,4000.0,EDUCATION,12.84,0.27,No,1,3.4668,0.1591,0
21.0,male,High School,28366.7,0,OWN,3.0,589,2000.0,MEDICAL,11.12,0.13,No,1,1.4456,0.0783,0
25.0,male,Bachelor,144855.0,1,RENT,2.0,586,24000.0,VENTURE,6.62,0.22,Yes,0,1.4564,0.1767,1
26.0,male,Bachelor,114645.0,2,RENT,3.0,681,24000.0,HOMEIMPROVEMENT,14.17,0.27,No,1,3.8259,0.239,0
25.0,female,High School,166754.7,3,RENT,3.0,567,24000.0,DEBTCONSOLIDATION,13.85,0.07,Yes,0,0.9695,0.1639,1
26.0,female,Associate,166754.7,1,MORTGAGE,4.0,669,7800.0,MEDICAL,13.49,0.02,No,0,0.2698,0.0531,0
21.0,male,Associate,28366.7,0,OWN,4.0,600,2500.0,EDUCATION,7.51,0.17,No,1,1.2767,0.0948,0
22.0,female,Bachelor,58868.0,0,RENT,2.0,606,24000.0,EDUCATION,18.39,0.51,No,1,9.3789,0.4827,0
24.0,male,High School,78026.0,3,RENT,3.0,582,24000.0,DEBTCONSOLIDATION,14.54,0.38,No,1,5.5252,0.3523,0
25.0,male,Bachelor,90785.0,4,RENT,4.0,649,24000.0,HOMEIMPROVEMENT,16.89,0.33,No,1,5.5737,0.309,0
23.0,female,High School,86811.0,0,RENT,4.0,602,24000.0,DEBTCONSOLIDATION,11.01,0.35,No,1,3.8535,0.3069,0
26.0,male,Bachelor,75503.0,5,RENT,2.0,616,24000.0,MEDICAL,17.99,0.4,No,1,7.196,0.3751,0
24.0,female,High School,28366.7,0,OWN,3.0,631,2500.0,VENTURE,12.69,0.17,No,1,2.1573,0.0993,0
26.0,male,Bachelor,166754.7,5,MORTGAGE,4.0,684,20000.0,VENTURE,7.88,0.06,Yes,0,0.4728,0.1294,1
23.0,male,High School,166754.7,0,OWN,2.0,637,24000.0,EDUCATION,19.41,0.07,Yes,0,1.3587,0.1719,1
26.0,male,Master,166754.7,5,OWN,4.0,649,10000.0,HOMEIMPROVEMENT,10.38,0.03,No,0,0.3114,0.0662,0
26.0,male,Bachelor,166754.7,5,MORTGAGE,3.0,695,24000.0,EDUCATION,15.33,0.07,Yes,0,1.0731,0.166,1
25.0,female,Bachelor,166754.7,2,MORTGAGE,3.0,620,18000.0,HOMEIMPROVEMENT,16.45,0.05,No,0,0.8225,0.1257,0
26.0,male,Bachelor,98230.0,2,RENT,3.0,622,24000.0,PERSONAL,7.49,0.31,No,1,2.3219,0.2626,0
22.0,female,High School,80838.0,0,RENT,3.0,645,24000.0,MEDICAL,12.69,0.37,No,1,4.6953,0.3346,0
26.0,male,Master,107957.0,2,RENT,3.0,654,24000.0,DEBTCONSOLIDATION,6.62,0.28,No,1,1.8536,0.237,0
24.0,female,Bachelor,94649.0,2,RENT,4.0,624,24000.0,DEBTCONSOLIDATION,11.01,0.32,No,1,3.5232,0.2815,0
23.0,male,High School,94550.0,1,RENT,3.0,570,24000.0,DEBTCONSOLIDATION,18.62,0.32,No,1,5.9584,0.3011,0
23.0,male,Bachelor,111153.0,3,RENT,3.0,648,24000.0,PERSONAL,15.23,0.27,No,1,4.1121,0.2488,0
23.0,female,Associate,117250.0,0,RENT,2.0,652,24000.0,VENTURE,10.65,0.26,No,1,2.769,0.2265,0
25.0,male,Bachelor,144985.0,3,RENT,4.0,559,24000.0,EDUCATION,7.9,0.21,No,0,1.659,0.1786,0
26.0,male,High School,166754.7,7,RENT,3.0,623,10000.0,PERSONAL,15.96,0.03,Yes,0,0.4788,0.0695,1
26.0,male,Associate,166754.7,2,RENT,3.0,602,20000.0,VENTURE,11.48,0.06,Yes,0,0.6888,0.1337,1
23.0,male,Bachelor,166754.7,1,OWN,4.0,609,24000.0,PERSONAL,11.01,0.1,No,0,1.101,0.1598,0
25.0,male,Master,154793.0,1,RENT,4.0,573,24000.0,PERSONAL,7.29,0.19,Yes,0,1.3851,0.1663,1
24.0,male,Associate,28366.7,1,OWN,3.0,631,2000.0,VENTURE,11.01,0.11,Yes,0,1.2111,0.0783,1
21.0,female,Bachelor,158338.0,0,RENT,4.0,623,24000.0,VENTURE,5.99,0.19,Yes,0,1.1381,0.1607,1
22.0,female,Bachelor,166754.7,0,OWN,2.0,602,12000.0,VENTURE,11.58,0.04,Yes,0,0.4632,0.0803,1
26.0,female,High School,166754.7,6,MORTGAGE,4.0,579,10000.0,EDUCATION,11.01,0.03,No,1,0.3303,0.0666,0
25.0,female,Associate,166754.7,0,MORTGAGE,2.0,582,24000.0,MEDICAL,15.7,0.09,No,1,1.413,0.1665,0
22.0,male,Master,85191.0,0,RENT,3.0,700,24000.0,EDUCATION,15.99,0.34,No,1,5.4366,0.3268,0
22.0,male,Associate,28366.7,0,MORTGAGE,3.0,688,2000.0,EDUCATION,14.84,0.1,No,0,1.484,0.081,0
26.0,male,Bachelor,166754.7,3,OWN,3.0,607,24000.0,HOMEIMPROVEMENT,10.99,0.09,Yes,0,0.9891,0.1597,1
25.0,female,Bachelor,166754.7,0,MORTGAGE,2.0,661,20000.0,HOMEIMPROVEMENT,14.42,0.06,Yes,0,0.8652,0.1372,1
24.0,male,High School,166754.7,5,MORTGAGE,2.0,562,9600.0,EDUCATION,6.99,0.03,Yes,0,0.2097,0.0616,1
25.0,female,Bachelor,166754.7,0,RENT,4.0,664,24000.0,MEDICAL,13.49,0.08,Yes,0,1.0792,0.1633,1
25.0,male,High School,28366.7,1,OWN,3.0,564,3000.0,MEDICAL,11.01,0.2,No,1,2.202,0.1174,0
22.0,male,Associate,69042.0,0,RENT,2.0,598,24000.0,MEDICAL,11.01,0.41,No,1,4.5141,0.3859,0
21.0,female,High School,28366.7,0,OWN,3.0,557,3000.0,EDUCATION,13.61,0.2,No,1,2.722,0.1202,0
23.0,female,Associate,79183.0,0,RENT,2.0,677,24000.0,EDUCATION,7.9,0.35,No,1,2.765,0.327,0
26.0,male,Bachelor,102654.0,4,RENT,3.0,690,24000.0,VENTURE,7.49,0.27,No,1,2.0223,0.2513,0
26.0,male,Associate,28366.7,1,OWN,3.0,599,6100.0,EDUCATION,7.51,0.4,No,1,3.004,0.2312,0
22.0,male,High School,106566.0,0,RENT,3.0,604,24000.0,VENTURE,9.91,0.26,No,1,2.5766,0.2475,0
21.0,female,Bachelor,28366.7,0,OWN,4.0,663,4200.0,PERSONAL,13.48,0.28,No,1,3.7744,0.168,0
22.0,male,Bachelor,28366.7,3,OWN,2.0,601,4750.0,DEBTCONSOLIDATION,7.14,0.31,No,1,2.2134,0.1794,0
24.0,male,High School,100332.0,1,RENT,4.0,634,24000.0,VENTURE,15.99,0.28,No,1,4.4772,0.2775,0
24.0,male,Bachelor,166754.7,2,RENT,3.0,671,18000.0,EDUCATION,12.98,0.06,No,0,0.7788,0.122,0
100.0,male,Bachelor,166754.7,82,RENT,3.0,789,4800.0,VENTURE,13.57,0.02,No,0,0.2714,0.0327,0
25.0,female,Bachelor,121062.0,1,RENT,3.0,622,24000.0,DEBTCONSOLIDATION,12.69,0.23,No,0,2.9187,0.2234,0
26.0,male,Associate,133372.0,1,RENT,2.0,538,24000.0,EDUCATION,8.9,0.21,Yes,0,1.869,0.196,1
26.0,male,Bachelor,28366.7,0,OWN,4.0,587,2700.0,DEBTCONSOLIDATION,11.01,0.17,No,1,1.8717,0.1057,0
22.0,male,Master,130852.0,0,RENT,4.0,683,24000.0,EDUCATION,11.01,0.21,No,1,2.3121,0.2036,0
23.0,male,Associate,166754.7,0,RENT,2.0,634,24000.0,DEBTCONSOLIDATION,11.11,0.15,Yes,0,1.6665,0.1599,1
24.0,female,Bachelor,83853.0,3,RENT,2.0,690,24000.0,HOMEIMPROVEMENT,11.01,0.33,No,1,3.6333,0.3177,0
21.0,female,Bachelor,28366.7,0,MORTGAGE,3.0,518,3250.0,DEBTCONSOLIDATION,15.68,0.21,No,1,3.2928,0.1325,0
22.0,female,Bachelor,85243.0,0,RENT,3.0,583,24000.0,EDUCATION,13.06,0.32,No,1,4.1792,0.3183,0
22.0,male,Associate,166754.7,2,OWN,2.0,617,24000.0,PERSONAL,11.01,0.09,Yes,0,0.9909,0.1598,1
26.0,male,Associate,89074.0,4,RENT,2.0,668,24000.0,VENTURE,15.62,0.3,No,1,4.686,0.3115,0
24.0,male,Master,100509.0,2,RENT,2.0,673,24000.0,PERSONAL,13.49,0.27,No,1,3.6423,0.271,0
24.0,male,High School,88950.0,3,RENT,3.0,706,24000.0,VENTURE,11.01,0.3,No,1,3.303,0.2995,0
23.0,female,High School,75894.0,1,RENT,2.0,536,24000.0,MEDICAL,11.71,0.34,No,1,3.9814,0.3533,0
23.0,male,Associate,145092.0,0,RENT,3.0,557,24000.0,EDUCATION,12.69,0.18,Yes,0,2.2842,0.1864,1
24.0,female,Bachelor,28366.7,1,OWN,3.0,689,2000.0,MEDICAL,13.57,0.1,Yes,0,1.357,0.0801,1
22.0,male,Bachelor,73131.0,3,RENT,3.0,681,24000.0,VENTURE,10.99,0.35,No,1,3.8465,0.3642,0
25.0,male,Master,166754.7,4,MORTGAGE,4.0,623,20000.0,MEDICAL,14.27,0.07,Yes,0,0.9989,0.1371,1
24.0,female,Associate,166754.7,0,OWN,4.0,595,20000.0,HOMEIMPROVEMENT,8.88,0.07,Yes,0,0.6216,0.1306,1
26.0,male,Bachelor,166754.7,1,MORTGAGE,3.0,584,21600.0,HOMEIMPROVEMENT,12.18,0.08,Yes,0,0.9744,0.1453,1
25.0,male,Bachelor,166754.7,4,MORTGAGE,3.0,669,11900.0,DEBTCONSOLIDATION,14.42,0.04,No,1,0.5768,0.0817,0
26.0,male,High School,166754.7,3,MORTGAGE,2.0,642,24000.0,MEDICAL,14.17,0.09,Yes,0,1.2753,0.1643,1
25.0,female,High School,166754.7,4,MORTGAGE,4.0,622,24000.0,MEDICAL,13.99,0.13,Yes,0,1.8187,0.1641,1
23.0,male,Associate,100756.0,0,RENT,3.0,689,24000.0,EDUCATION,10.99,0.25,No,1,2.7475,0.2644,0
22.0,male,High School,28366.7,1,MORTGAGE,4.0,614,2000.0,PERSONAL,5.42,0.12,No,1,0.6504,0.0743,0
25.0,female,Bachelor,28366.7,2,OWN,3.0,597,2000.0,PERSONAL,13.61,0.11,Yes,0,1.4971,0.0801,1
21.0,female,Bachelor,51922.0,3,RENT,3.0,673,24000.0,EDUCATION,12.73,0.48,No,1,6.1104,0.5211,0
24.0,male,Associate,50309.0,3,RENT,3.0,625,24000.0,HOMEIMPROVEMENT,11.01,0.5,No,1,5.505,0.5296,0
25.0,male,High School,28366.7,0,OWN,4.0,603,3000.0,DEBTCONSOLIDATION,12.87,0.18,No,1,2.3166,0.1194,0
24.0,male,Bachelor,28366.7,0,MORTGAGE,3.0,589,3650.0,HOMEIMPROVEMENT,9.91,0.22,No,1,2.1802,0.1414,0
26.0,male,Master,166754.7,5,MORTGAGE,4.0,670,20000.0,HOMEIMPROVEMENT,11.49,0.07,Yes,0,0.8043,0.1337,1
25.0,female,Bachelor,166754.7,3,MORTGAGE,2.0,637,24000.0,HOMEIMPROVEMENT,19.91,0.11,Yes,0,2.1901,0.1726,1
26.0,male,Associate,166754.7,2,MORTGAGE,2.0,643,24000.0,EDUCATION,10.65,0.14,No,1,1.491,0.1593,0
24.0,male,High School,166754.7,0,RENT,4.0,508,6000.0,MEDICAL,11.01,0.02,Yes,0,0.2202,0.0399,1
24.0,male,High School,28366.7,2,MORTGAGE,4.0,643,4500.0,DEBTCONSOLIDATION,11.83,0.27,No,1,3.1941,0.1774,0
23.0,male,High School,28366.7,0,OWN,2.0,505,2400.0,DEBTCONSOLIDATION,13.49,0.14,No,1,1.8886,0.096,0
22.0,male,Bachelor,51608.0,0,RENT,2.0,593,24000.0,MEDICAL,14.59,0.48,No,1,7.0032,0.5329,0
26.0,female,Master,58516.0,6,RENT,4.0,686,24000.0,EDUCATION,9.64,0.43,No,1,4.1452,0.4497,0
25.0,female,Associate,28366.7,4,OWN,3.0,646,3600.0,MEDICAL,14.59,0.22,No,1,3.2098,0.1454,0
22.0,female,Bachelor,28366.7,0,OWN,3.0,645,4750.0,EDUCATION,11.01,0.28,No,1,3.0828,0.1859,0
25.0,female,Associate,51747.0,3,RENT,3.0,697,24000.0,EDUCATION,16.35,0.48,No,1,7.848,0.5396,0
21.0,male,High School,59864.0,0,RENT,2.0,648,24000.0,EDUCATION,10.99,0.42,No,1,4.6158,0.445,0
25.0,male,Master,166754.7,1,MORTGAGE,2.0,640,24000.0,VENTURE,18.67,0.09,Yes,0,1.6803,0.1708,1
26.0,male,Bachelor,166754.7,5,RENT,4.0,681,3000.0,EDUCATION,9.32,0.01,No,0,0.0932,0.0197,0
23.0,female,Associate,166754.7,0,RENT,2.0,646,7500.0,DEBTCONSOLIDATION,8.63,0.03,No,0,0.2589,0.0489,0
26.0,male,Bachelor,166754.7,4,MORTGAGE,2.0,615,24000.0,VENTURE,10.08,0.09,Yes,0,0.9072,0.1584,1
22.0,male,Associate,60501.0,0,RENT,3.0,687,24000.0,PERSONAL,11.83,0.41,No,1,4.8503,0.4436,0
23.0,male,High School,60754.0,1,RENT,3.0,650,24000.0,DEBTCONSOLIDATION,7.9,0.41,No,1,3.239,0.4262,0
25.0,male,Bachelor,60829.0,0,RENT,2.0,588,24000.0,HOMEIMPROVEMENT,5.99,0.41,No,1,2.4559,0.4182,0
24.0,male,Bachelor,53825.0,2,RENT,2.0,652,24000.0,DEBTCONSOLIDATION,15.33,0.46,No,1,7.0518,0.5142,0
23.0,male,High School,60801.0,0,RENT,4.0,658,24000.0,VENTURE,11.83,0.41,No,1,4.8503,0.4414,0
22.0,male,High School,60747.0,0,RENT,2.0,634,24000.0,VENTURE,10.36,0.41,No,1,4.2476,0.436,0
22.0,female,High School,61029.0,0,RENT,3.0,623,24000.0,VENTURE,12.23,0.41,No,1,5.0143,0.4414,0
22.0,female,Associate,63236.0,0,RENT,4.0,635,24000.0,EDUCATION,11.11,0.4,No,1,4.444,0.4217,0
23.0,female,Bachelor,28366.7,0,OWN,4.0,531,4950.0,DEBTCONSOLIDATION,7.9,0.29,No,1,2.291,0.1883,0
24.0,female,Master,166754.7,4,MORTGAGE,2.0,665,24000.0,EDUCATION,11.58,0.09,Yes,0,1.0422,0.1606,1
23.0,male,Associate,166754.7,2,MORTGAGE,3.0,703,21000.0,DEBTCONSOLIDATION,8.9,0.08,No,0,0.712,0.1371,0
25.0,female,Associate,166754.7,5,MORTGAGE,3.0,585,24000.0,EDUCATION,16.07,0.1,Yes,0,1.607,0.1671,1
26.0,female,Bachelor,166754.7,4,MORTGAGE,2.0,594,20000.0,EDUCATION,14.22,0.08,No,0,1.1376,0.137,0
23.0,male,Bachelor,166754.7,0,MORTGAGE,3.0,618,24000.0,MEDICAL,14.79,0.14,Yes,0,2.0706,0.1652,1
26.0,male,High School,166754.7,2,MORTGAGE,2.0,626,12000.0,EDUCATION,7.88,0.05,Yes,0,0.394,0.0776,1
23.0,male,High School,63497.0,0,RENT,2.0,695,24000.0,PERSONAL,13.22,0.39,No,1,5.1558,0.4279,0
26.0,female,Doctorate,56325.0,2,RENT,4.0,690,24000.0,DEBTCONSOLIDATION,11.86,0.44,No,1,5.2184,0.4766,0
22.0,male,Bachelor,64842.0,0,RENT,4.0,574,24000.0,EDUCATION,13.43,0.39,No,1,5.2377,0.4198,0
26.0,female,High School,57856.0,0,RENT,2.0,602,24000.0,HOMEIMPROVEMENT,15.28,0.43,No,1,6.5704,0.4782,0
23.0,male,Associate,57318.0,0,RENT,2.0,679,24000.0,VENTURE,17.93,0.44,No,1,7.8892,0.4938,0
23.0,female,High School,28366.7,2,MORTGAGE,4.0,615,2000.0,EDUCATION,9.25,0.08,No,0,0.74,0.077,0
21.0,male,Master,28366.7,0,OWN,4.0,601,4500.0,VENTURE,12.98,0.27,No,1,3.5046,0.1792,0
22.0,male,Associate,166754.7,0,MORTGAGE,4.0,577,16000.0,VENTURE,10.62,0.06,Yes,0,0.6372,0.1061,1
26.0,female,Associate,166754.7,3,OWN,4.0,588,22000.0,PERSONAL,11.83,0.09,Yes,0,1.0647,0.1475,1
26.0,male,Bachelor,58602.0,8,RENT,2.0,595,24000.0,VENTURE,18.43,0.43,No,1,7.9249,0.485,0
22.0,male,High School,67012.0,2,RENT,4.0,653,24000.0,EDUCATION,11.01,0.37,No,1,4.0737,0.3976,0
24.0,female,Master,66643.0,3,RENT,4.0,663,24000.0,HOMEIMPROVEMENT,11.01,0.38,No,1,4.1838,0.3998,0
23.0,male,Bachelor,66599.0,0,RENT,3.0,653,24000.0,EDUCATION,11.36,0.38,No,1,4.3168,0.4013,0
23.0,male,Associate,67212.0,2,RENT,3.0,598,24000.0,EDUCATION,15.65,0.37,No,1,5.7905,0.413,0
24.0,female,High School,66918.0,1,RENT,4.0,630,24000.0,PERSONAL,13.22,0.37,No,1,4.8914,0.4061,0
26.0,male,Associate,68066.0,2,RENT,2.0,637,24000.0,DEBTCONSOLIDATION,12.87,0.37,No,1,4.7619,0.398,0
24.0,male,Associate,166754.7,1,OWN,3.0,660,20000.0,MEDICAL,13.04,0.08,Yes,0,1.0432,0.1356,1
23.0,male,Associate,166754.7,0,MORTGAGE,3.0,639,22000.0,EDUCATION,17.58,0.1,No,1,1.758,0.1551,0
23.0,male,High School,28366.7,0,OWN,4.0,626,7750.0,PERSONAL,17.04,0.43,No,1,7.3272,0.3198,0
24.0,female,Associate,72608.0,3,RENT,3.0,612,24000.0,PERSONAL,10.99,0.34,No,1,3.7366,0.3669,0
24.0,male,Bachelor,73073.0,1,RENT,3.0,628,24000.0,PERSONAL,11.11,0.34,No,1,3.7774,0.3649,0
26.0,female,Master,65880.0,2,RENT,2.0,592,24000.0,DEBTCONSOLIDATION,14.83,0.38,No,1,5.6354,0.4183,0
23.0,male,High School,28366.7,1,OWN,3.0,580,4000.0,DEBTCONSOLIDATION,11.01,0.23,No,1,2.5323,0.1565,0
24.0,male,Bachelor,166754.7,3,RENT,2.0,634,12000.0,MEDICAL,12.69,0.05,No,0,0.6345,0.0811,0
24.0,male,Associate,166754.7,3,MORTGAGE,2.0,678,12000.0,HOMEIMPROVEMENT,13.49,0.05,No,0,0.6745,0.0817,0
21.0,male,High School,166754.7,0,MORTGAGE,4.0,557,16000.0,EDUCATION,14.65,0.07,Yes,0,1.0255,0.11,1
25.0,male,Bachelor,65742.0,3,RENT,4.0,672,24000.0,HOMEIMPROVEMENT,16.82,0.38,No,1,6.3916,0.4265,0
23.0,male,Bachelor,72713.0,0,RENT,3.0,613,24000.0,PERSONAL,12.73,0.34,No,1,4.3282,0.3721,0
23.0,male,High School,72627.0,3,RENT,4.0,566,24000.0,PERSONAL,10.25,0.34,No,1,3.485,0.3643,0
21.0,male,Associate,72843.0,0,RENT,4.0,718,24000.0,EDUCATION,10.99,0.34,No,1,3.7366,0.3657,0
25.0,male,High School,75504.0,4,RENT,2.0,484,24000.0,MEDICAL,12.73,0.33,No,1,4.2009,0.3583,0
22.0,female,High School,68824.0,0,RENT,3.0,634,24000.0,HOMEIMPROVEMENT,14.96,0.36,No,1,5.3856,0.4009,0
23.0,female,Bachelor,166754.7,2,MORTGAGE,2.0,653,24000.0,EDUCATION,11.01,0.12,Yes,0,1.3212,0.1598,1
21.0,male,Bachelor,166754.7,0,MORTGAGE,2.0,699,24000.0,DEBTCONSOLIDATION,13.99,0.1,No,0,1.399,0.1641,0
24.0,male,High School,166754.7,0,MORTGAGE,4.0,656,24000.0,VENTURE,7.49,0.1,Yes,0,0.749,0.1547,1
26.0,male,High School,166754.7,3,MORTGAGE,3.0,626,15000.0,EDUCATION,14.79,0.06,Yes,0,0.8874,0.1033,1
25.0,male,High School,166754.7,2,MORTGAGE,2.0,659,15500.0,DEBTCONSOLIDATION,11.99,0.06,No,0,0.7194,0.1041,0
24.0,female,High School,166754.7,4,RENT,4.0,604,10000.0,EDUCATION,8.49,0.04,Yes,0,0.3396,0.0651,1
24.0,male,Associate,80145.0,1,RENT,2.0,636,24000.0,EDUCATION,9.91,0.31,No,1,3.0721,0.3291,0
22.0,male,Master,80303.0,0,RENT,3.0,554,24000.0,EDUCATION,13.06,0.31,No,1,4.0486,0.3379,0
22.0,male,High School,166754.7,0,MORTGAGE,4.0,587,9000.0,DEBTCONSOLIDATION,6.17,0.04,Yes,0,0.2468,0.0573,1
100.0,male,Associate,166754.7,82,MORTGAGE,2.0,807,6000.0,EDUCATION,11.86,0.02,No,0,0.2372,0.0402,0
25.0,male,Bachelor,166754.7,4,RENT,3.0,708,18000.0,EDUCATION,16.32,0.07,Yes,0,1.1424,0.1256,1
25.0,female,Master,166754.7,2,MORTGAGE,2.0,669,12000.0,VENTURE,10.38,0.05,Yes,0,0.519,0.0794,1
25.0,male,Associate,166754.7,2,MORTGAGE,3.0,578,23050.0,PERSONAL,14.35,0.1,No,0,1.435,0.1581,0
24.0,male,Bachelor,166754.7,5,MORTGAGE,3.0,615,20000.0,DEBTCONSOLIDATION,11.01,0.08,No,0,0.8808,0.1331,0
24.0,female,Master,72919.0,1,RENT,2.0,553,24000.0,DEBTCONSOLIDATION,11.01,0.34,No,1,3.7434,0.3654,0
21.0,male,Master,28366.7,0,OWN,4.0,635,3000.0,HOMEIMPROVEMENT,11.01,0.17,No,1,1.8717,0.1174,0
26.0,female,Associate,81238.0,3,RENT,2.0,531,24000.0,PERSONAL,15.21,0.31,No,1,4.7151,0.3404,0
23.0,male,High School,80868.0,1,RENT,4.0,621,24000.0,EDUCATION,7.9,0.31,No,1,2.449,0.3202,0
24.0,male,Bachelor,81537.0,1,RENT,3.0,674,24000.0,VENTURE,10.99,0.31,No,1,3.4069,0.3267,0
24.0,female,Associate,82741.0,0,RENT,3.0,688,24000.0,PERSONAL,14.09,0.3,No,1,4.227,0.3309,0
25.0,female,High School,83901.0,3,RENT,2.0,597,24000.0,PERSONAL,17.49,0.3,No,1,5.247,0.3361,0
25.0,male,Associate,166754.7,1,MORTGAGE,3.0,640,12000.0,EDUCATION,11.48,0.05,No,0,0.574,0.0802,0
26.0,female,Associate,166754.7,0,MORTGAGE,2.0,621,20000.0,VENTURE,17.74,0.09,No,1,1.5966,0.1412,0
26.0,female,Bachelor,166754.7,5,MORTGAGE,3.0,608,3000.0,PERSONAL,13.92,0.01,Yes,0,0.1392,0.0205,1
25.0,male,Bachelor,85284.0,3,RENT,3.0,653,24000.0,EDUCATION,15.21,0.29,No,1,4.4109,0.3242,0
22.0,female,Bachelor,28366.7,0,OWN,3.0,585,4000.0,MEDICAL,10.99,0.22,No,1,2.4178,0.1565,0
24.0,female,High School,84871.0,3,RENT,4.0,569,24000.0,EDUCATION,11.86,0.29,No,1,3.4394,0.3163,0
24.0,male,Bachelor,28366.7,2,OWN,3.0,587,6000.0,PERSONAL,7.49,0.33,No,1,2.4717,0.2274,0
24.0,male,Bachelor,68029.0,1,RENT,4.0,631,24000.0,MEDICAL,16.49,0.37,No,1,6.1013,0.411,0
25.0,female,High School,80001.0,4,RENT,2.0,592,24000.0,VENTURE,15.33,0.31,No,1,4.7523,0.346,0
26.0,female,High School,79875.0,6,RENT,4.0,679,24000.0,HOMEIMPROVEMENT,11.58,0.31,No,1,3.5898,0.3353,0
25.0,male,High School,28366.7,1,OWN,2.0,645,5375.0,EDUCATION,5.79,0.29,No,1,1.6791,0.2005,0
25.0,male,Associate,88153.0,0,RENT,2.0,669,24000.0,MEDICAL,13.11,0.28,No,1,3.6708,0.3079,0
