solicitante_id,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,previous_loan_defaults_on_file,loan_status
91,24000.0,PERSONAL,11.01,0.09,Yes,0
92,24000.0,VENTURE,15.62,0.3,No,1
93,24000.0,PERSONAL,13.49,0.27,No,1
94,24000.0,VENTURE,11.01,0.3,No,1
95,24000.0,MEDICAL,11.71,0.34,No,1
96,24000.0,EDUCATION,12.69,0.18,Yes,0
97,2000.0,MEDICAL,13.57,0.1,Yes,0
98,24000.0,VENTURE,10.99,0.35,No,1
99,20000.0,MEDICAL,14.27,0.07,Yes,0
100,20000.0,HOMEIMPROVEMENT,8.88,0.07,Yes,0
101,21600.0,HOMEIMPROVEMENT,12.18,0.08,Yes,0
102,11900.0,DEBTCONSOLIDATION,14.42,0.04,No,1
103,24000.0,MEDICAL,14.17,0.09,Yes,0
104,24000.0,MEDICAL,13.99,0.13,Yes,0
105,24000.0,EDUCATION,10.99,0.25,No,1
106,2000.0,PERSONAL,5.42,0.12,No,1
107,2000.0,PERSONAL,13.61,0.11,Yes,0
108,24000.0,EDUCATION,12.73,0.48,No,1
109,24000.0,HOMEIMPROVEMENT,11.01,0.5,No,1
110,3000.0,DEBTCONSOLIDATION,12.87,0.18,No,1
111,3650.0,HOMEIMPROVEMENT,9.91,0.22,No,1
112,20000.0,HOMEIMPROVEMENT,11.49,0.07,Yes,0
113,24000.0,HOMEIMPROVEMENT,19.91,0.11,Yes,0
114,24000.0,EDUCATION,10.65,0.14,No,1
115,6000.0,MEDICAL,11.01,0.02,Yes,0
116,4500.0,DEBTCONSOLIDATION,11.83,0.27,No,1
117,2400.0,DEBTCONSOLIDATION,13.49,0.14,No,1
118,24000.0,MEDICAL,14.59,0.48,No,1
119,24000.0,EDUCATION,9.64,0.43,No,1
120,3600.0,MEDICAL,14.59,0.22,No,1
121,4750.0,EDUCATION,11.01,0.28,No,1
122,24000.0,EDUCATION,16.35,0.48,No,1
123,24000.0,EDUCATION,10.99,0.42,No,1
124,24000.0,VENTURE,18.67,0.09,Yes,0
125,3000.0,EDUCATION,9.32,0.01,No,0
126,7500.0,DEBTCONSOLIDATION,8.63,0.03,No,0
127,24000.0,VENTURE,10.08,0.09,Yes,0
128,24000.0,PERSONAL,11.83,0.41,No,1
129,24000.0,DEBTCONSOLIDATION,7.9,0.41,No,1
130,24000.0,HOMEIMPROVEMENT,5.99,0.41,No,1
131,24000.0,DEBTCONSOLIDATION,15.33,0.46,No,1
132,24000.0,VENTURE,11.83,0.41,No,1
133,24000.0,VENTURE,10.36,0.41,No,1
134,24000.0,VENTURE,12.23,0.41,No,1
135,24000.0,EDUCATION,11.11,0.4,No,1
136,4950.0,DEBTCONSOLIDATION,7.9,0.29,No,1
137,24000.0,EDUCATION,11.58,0.09,Yes,0
138,21000.0,DEBTCONSOLIDATION,8.9,0.08,No,0
139,24000.0,EDUCATION,16.07,0.1,Yes,0
140,20000.0,EDUCATION,14.22,0.08,No,0
141,24000.0,MEDICAL,14.79,0.14,Yes,0
142,12000.0,EDUCATION,7.88,0.05,Yes,0
143,24000.0,PERSONAL,13.22,0.39,No,1
144,24000.0,DEBTCONSOLIDATION,11.86,0.44,No,1
145,24000.0,EDUCATION,13.43,0.39,No,1
146,24000.0,HOMEIMPROVEMENT,15.28,0.43,No,1
147,24000.0,VENTURE,17.93,0.44,No,1
148,2000.0,EDUCATION,9.25,0.08,No,0
149,4500.0,VENTURE,12.98,0.27,No,1
150,16000.0,VENTURE,10.62,0.06,Yes,0
151,22000.0,PERSONAL,11.83,0.09,Yes,0
152,24000.0,VENTURE,18.43,0.43,No,1
153,24000.0,EDUCATION,11.01,0.37,No,1
154,24000.0,HOMEIMPROVEMENT,11.01,0.38,No,1
155,24000.0,EDUCATION,11.36,0.38,No,1
156,24000.0,EDUCATION,15.65,0.37,No,1
157,24000.0,PERSONAL,13.22,0.37,No,1
158,24000.0,DEBTCONSOLIDATION,12.87,0.37,No,1
159,20000.0,MEDICAL,13.04,0.08,Yes,0
160,22000.0,EDUCATION,17.58,0.1,No,1
161,7750.0,PERSONAL,17.04,0.43,No,1
162,24000.0,PERSONAL,10.99,0.34,No,1
163,24000.0,PERSONAL,11.11,0.34,No,1
164,24000.0,DEBTCONSOLIDATION,14.83,0.38,No,1
165,4000.0,DEBTCONSOLIDATION,11.01,0.23,No,1
166,12000.0,MEDICAL,12.69,0.05,No,0
167,12000.0,HOMEIMPROVEMENT,13.49,0.05,No,0
168,16000.0,EDUCATION,14.65,0.07,Yes,0
169,24000.0,HOMEIMPROVEMENT,16.82,0.38,No,1
170,24000.0,PERSONAL,12.73,0.34,No,1
171,24000.0,PERSONAL,10.25,0.34,No,1
172,24000.0,EDUCATION,10.99,0.34,No,1
173,24000.0,MEDICAL,12.73,0.33,No,1
174,24000.0,HOMEIMPROVEMENT,14.96,0.36,No,1
175,24000.0,EDUCATION,11.01,0.12,Yes,0
176,24000.0,DEBTCONSOLIDATION,13.99,0.1,No,0
177,24000.0,VENTURE,7.49,0.1,Yes,0
178,15000.0,EDUCATION,14.79,0.06,Yes,0
179,15500.0,DEBTCONSOLIDATION,11.99,0.06,No,0
180,10000.0,EDUCATION,8.49,0.04,Yes,0
181,24000.0,EDUCATION,9.91,0.31,No,1
182,24000.0,EDUCATION,13.06,0.31,No,1
183,9000.0,DEBTCONSOLIDATION,6.17,0.04,Yes,0
184,6000.0,EDUCATION,11.86,0.02,No,0
185,18000.0,EDUCATION,16.32,0.07,Yes,0
186,12000.0,VENTURE,10.38,0.05,Yes,0
187,23050.0,PERSONAL,14.35,0.1,No,0
188,20000.0,DEBTCONSOLIDATION,11.01,0.08,No,0
189,24000.0,DEBTCONSOLIDATION,11.01,0.34,No,1
190,3000.0,HOMEIMPROVEMENT,11.01,0.17,No,1
191,24000.0,PERSONAL,15.21,0.31,No,1
192,24000.0,EDUCATION,7.9,0.31,No,1
193,24000.0,VENTURE,10.99,0.31,No,1
194,24000.0,PERSONAL,14.09,0.3,No,1
195,24000.0,PERSONAL,17.49,0.3,No,1
196,12000.0,EDUCATION,11.48,0.05,No,0
197,20000.0,VENTURE,17.74,0.09,No,1
198,3000.0,PERSONAL,13.92,0.01,Yes,0
199,24000.0,EDUCATION,15.21,0.29,No,1
200,4000.0,MEDICAL,10.99,0.22,No,1
201,24000.0,EDUCATION,11.86,0.29,No,1
202,6000.0,PERSONAL,7.49,0.33,No,1
203,24000.0,MEDICAL,16.49,0.37,No,1
204,24000.0,VENTURE,15.33,0.31,No,1
205,24000.0,HOMEIMPROVEMENT,11.58,0.31,No,1
206,5375.0,EDUCATION,5.79,0.29,No,1
207,24000.0,MEDICAL,13.11,0.28,No,1
208,24000.0,MEDICAL,10.36,0.28,No,1
209,24000.0,DEBTCONSOLIDATION,10.36,0.27,No,1
210,22000.0,MEDICAL,11.01,0.1,Yes,0
211,20000.0,VENTURE,6.54,0.09,No,0
212,10000.0,MEDICAL,12.53,0.04,No,0
213,15000.0,PERSONAL,11.01,0.07,No,0
214,10000.0,VENTURE,11.01,0.04,Yes,0
215,24000.0,EDUCATION,10.25,0.27,No,1
216,24000.0,EDUCATION,15.95,0.29,No,1
217,20000.0,VENTURE,12.18,0.09,Yes,0
218,24000.0,PERSONAL,11.83,0.1,Yes,0
219,24000.0,DEBTCONSOLIDATION,11.01,0.26,No,1
220,24000.0,VENTURE,10.62,0.26,No,1
221,24000.0,VENTURE,10.74,0.26,No,1
222,10000.0,VENTURE,10.25,0.04,Yes,0
223,24000.0,EDUCATION,12.42,0.16,No,0
224,15000.0,VENTURE,15.27,0.07,Yes,0
225,24000.0,MEDICAL,15.33,0.33,No,1
226,24000.0,VENTURE,15.21,0.26,No,1
227,6250.0,VENTURE,14.72,0.35,No,1
228,24000.0,PERSONAL,15.7,0.26,No,1
229,24000.0,EDUCATION,13.35,0.26,No,1
230,2000.0,MEDICAL,11.01,0.08,No,0
231,24000.0,EDUCATION,6.62,0.26,No,1
232,24000.0,DEBTCONSOLIDATION,13.61,0.26,No,1
233,24000.0,MEDICAL,11.36,0.11,Yes,0
234,5000.0,PERSONAL,7.68,0.02,Yes,0
235,22000.0,HOMEIMPROVEMENT,14.46,0.1,Yes,0
236,2500.0,EDUCATION,11.83,0.01,Yes,0
237,20000.0,DEBTCONSOLIDATION,13.47,0.1,No,1
238,20000.0,MEDICAL,11.49,0.09,Yes,0
239,2000.0,EDUCATION,11.01,0.0,Yes,0
240,15000.0,PERSONAL,6.03,0.07,Yes,0
241,24000.0,DEBTCONSOLIDATION,16.35,0.28,No,1
242,24000.0,DEBTCONSOLIDATION,11.01,0.28,No,1
243,24000.0,DEBTCONSOLIDATION,7.29,0.25,No,1
244,24000.0,MEDICAL,11.36,0.25,No,1
245,24000.0,VENTURE,10.25,0.25,No,0
246,24000.0,EDUCATION,11.12,0.25,No,0
247,24000.0,PERSONAL,12.92,0.25,Yes,0
248,18000.0,EDUCATION,18.64,0.08,Yes,0
249,24000.0,PERSONAL,7.51,0.13,Yes,0
250,4000.0,HOMEIMPROVEMENT,16.7,0.22,No,1
251,2100.0,PERSONAL,11.14,0.11,No,0
252,24000.0,PERSONAL,18.3,0.24,Yes,0
253,24000.0,MEDICAL,10.62,0.24,Yes,0
254,14000.0,VENTURE,11.99,0.06,Yes,0
255,12000.0,VENTURE,9.63,0.06,Yes,0
256,10000.0,MEDICAL,18.25,0.06,No,1
257,6000.0,DEBTCONSOLIDATION,11.01,0.32,No,1
258,24000.0,HOMEIMPROVEMENT,14.84,0.24,Yes,0
259,24000.0,VENTURE,14.7,0.27,No,1
260,24000.0,DEBTCONSOLIDATION,16.02,0.27,No,1
261,24000.0,MEDICAL,15.37,0.31,No,1
262,24000.0,MEDICAL,10.99,0.23,No,0
263,6200.0,HOMEIMPROVEMENT,7.9,0.33,No,1
264,24000.0,PERSONAL,10.99,0.12,Yes,0
265,21000.0,EDUCATION,11.48,0.1,Yes,0
266,20000.0,MEDICAL,14.26,0.09,Yes,0
267,10000.0,HOMEIMPROVEMENT,8.0,0.05,Yes,0
268,9950.0,VENTURE,11.26,0.05,No,0
269,4475.0,MEDICAL,11.01,0.24,No,1
270,24000.0,VENTURE,16.32,0.26,No,1
271,24000.0,MEDICAL,17.93,0.31,No,1
272,24000.0,DEBTCONSOLIDATION,11.36,0.23,No,0
273,24000.0,DEBTCONSOLIDATION,14.96,0.26,No,1
274,24000.0,PERSONAL,13.43,0.23,Yes,0
275,24000.0,HOMEIMPROVEMENT,12.69,0.22,Yes,0
276,24000.0,VENTURE,12.73,0.22,Yes,0
277,24000.0,VENTURE,15.21,0.22,No,0
278,2000.0,MEDICAL,12.68,0.09,Yes,0
279,24000.0,MEDICAL,19.04,0.29,No,1
280,24000.0,DEBTCONSOLIDATION,15.95,0.24,No,1
281,2600.0,VENTURE,8.9,0.01,No,0
282,8000.0,HOMEIMPROVEMENT,7.9,0.04,Yes,0
283,18000.0,EDUCATION,11.01,0.09,No,0
284,21000.0,PERSONAL,11.99,0.1,Yes,0
285,4000.0,DEBTCONSOLIDATION,13.98,0.21,No,1
286,4600.0,VENTURE,10.99,0.24,No,1
287,24000.0,DEBTCONSOLIDATION,15.58,0.23,No,1
288,24000.0,MEDICAL,10.99,0.28,No,1
289,24000.0,VENTURE,14.96,0.23,No,1
290,2000.0,HOMEIMPROVEMENT,15.31,0.09,Yes,0
291,24000.0,VENTURE,15.65,0.23,No,1
292,24000.0,VENTURE,9.33,0.21,Yes,0
293,3600.0,PERSONAL,13.47,0.19,No,1
294,24000.0,PERSONAL,10.36,0.2,Yes,0
295,24000.0,HOMEIMPROVEMENT,16.77,0.22,No,1
296,24000.0,DEBTCONSOLIDATION,14.59,0.22,No,1
297,3500.0,VENTURE,11.91,0.02,No,0
298,7200.0,EDUCATION,8.38,0.03,Yes,0
299,9000.0,VENTURE,10.59,0.04,Yes,0
300,8800.0,DEBTCONSOLIDATION,14.27,0.04,Yes,0
301,12000.0,DEBTCONSOLIDATION,12.53,0.06,No,0
302,24000.0,DEBTCONSOLIDATION,16.0,0.13,No,1
303,10000.0,VENTURE,11.71,0.05,Yes,0
304,3175.0,HOMEIMPROVEMENT,11.54,0.17,No,1
305,24000.0,HOMEIMPROVEMENT,15.68,0.21,No,1
306,2000.0,EDUCATION,10.59,0.08,Yes,0
307,24000.0,HOMEIMPROVEMENT,12.61,0.21,No,1
308,24000.0,PERSONAL,11.01,0.19,Yes,0
309,2800.0,PERSONAL,8.49,0.14,No,1
310,24000.0,PERSONAL,17.27,0.16,No,1
311,18000.0,DEBTCONSOLIDATION,8.9,0.09,Yes,0
312,10000.0,MEDICAL,11.11,0.05,Yes,0
313,24000.0,HOMEIMPROVEMENT,14.59,0.13,No,1
314,13000.0,VENTURE,12.42,0.06,No,0
315,24000.0,MEDICAL,11.01,0.25,No,1
316,24000.0,HOMEIMPROVEMENT,15.7,0.19,Yes,0
317,2500.0,HOMEIMPROVEMENT,12.53,0.13,No,1
318,5000.0,MEDICAL,16.49,0.03,No,1
319,20000.0,EDUCATION,7.49,0.1,Yes,0
320,24000.0,DEBTCONSOLIDATION,14.96,0.21,No,1
321,24000.0,MEDICAL,12.73,0.18,No,0
322,24000.0,EDUCATION,10.65,0.17,Yes,0
323,24000.0,MEDICAL,10.74,0.17,No,0
324,24000.0,EDUCATION,9.99,0.17,Yes,0
325,24000.0,MEDICAL,15.33,0.23,No,1
326,2000.0,VENTURE,7.29,0.05,Yes,0
327,24000.0,PERSONAL,15.05,0.19,No,1
328,24000.0,PERSONAL,10.75,0.16,Yes,0
329,24000.0,EDUCATION,16.02,0.16,Yes,0
330,24000.0,VENTURE,11.49,0.16,Yes,0
331,20000.0,EDUCATION,12.53,0.1,No,0
332,12000.0,VENTURE,13.57,0.06,No,0
333,14000.0,PERSONAL,11.14,0.07,Yes,0
334,24000.0,MEDICAL,12.87,0.12,Yes,0
335,20000.0,EDUCATION,11.58,0.1,No,0
336,2000.0,HOMEIMPROVEMENT,11.12,0.01,Yes,0
337,24000.0,PERSONAL,10.65,0.17,Yes,0
338,24000.0,DEBTCONSOLIDATION,10.37,0.15,No,0
339,3300.0,HOMEIMPROVEMENT,6.39,0.17,No,1
340,24000.0,PERSONAL,16.07,0.15,Yes,0
341,24000.0,MEDICAL,10.62,0.15,Yes,0
342,3200.0,VENTURE,18.09,0.16,No,1
343,24000.0,EDUCATION,11.36,0.15,Yes,0
344,24000.0,DEBTCONSOLIDATION,12.53,0.15,Yes,0
345,24000.0,EDUCATION,9.99,0.14,Yes,0
346,24000.0,EDUCATION,10.36,0.14,No,0
347,9600.0,EDUCATION,5.99,0.05,Yes,0
348,24000.0,DEBTCONSOLIDATION,15.62,0.13,No,1
349,20000.0,PERSONAL,10.37,0.1,No,0
350,24000.0,HOMEIMPROVEMENT,19.74,0.13,No,0
351,20000.0,EDUCATION,6.91,0.1,Yes,0
352,6000.0,MEDICAL,7.9,0.3,No,1
353,2275.0,DEBTCONSOLIDATION,13.06,0.11,Yes,0
354,2000.0,PERSONAL,6.39,0.1,Yes,0
355,24000.0,DEBTCONSOLIDATION,14.93,0.14,No,1
356,5600.0,MEDICAL,12.84,0.27,No,1
357,3625.0,VENTURE,17.14,0.18,No,1
358,5500.0,VENTURE,7.14,0.27,No,1
359,24000.0,PERSONAL,8.9,0.12,No,0
360,2000.0,PERSONAL,12.42,0.1,Yes,0
361,24000.0,HOMEIMPROVEMENT,12.68,0.11,Yes,0
362,24000.0,PERSONAL,11.03,0.13,Yes,0
363,24000.0,VENTURE,7.9,0.15,Yes,0
364,24000.0,MEDICAL,10.65,0.18,Yes,0
365,24000.0,VENTURE,11.86,0.09,No,0
366,5000.0,PERSONAL,8.94,0.25,No,1
367,4375.0,VENTURE,9.63,0.21,No,1
368,24000.0,PERSONAL,14.22,0.41,No,1
369,24000.0,DEBTCONSOLIDATION,9.33,0.34,No,1
370,24000.0,MEDICAL,13.85,0.24,Yes,0
371,2000.0,EDUCATION,10.65,0.1,No,0
372,24000.0,MEDICAL,11.46,0.22,No,0
373,24000.0,PERSONAL,7.66,0.18,Yes,0
374,12000.0,VENTURE,16.77,0.06,No,0
375,12000.0,PERSONAL,9.63,0.06,Yes,0
376,24000.0,PERSONAL,12.23,0.13,No,0
377,10000.0,MEDICAL,14.09,0.07,No,1
378,24000.0,PERSONAL,13.98,0.37,No,1
379,24000.0,EDUCATION,10.62,0.32,No,1
380,3900.0,DEBTCONSOLIDATION,11.01,0.18,No,1
381,24000.0,PERSONAL,17.56,0.29,No,1
382,24000.0,MEDICAL,14.96,0.36,No,1
383,24000.0,DEBTCONSOLIDATION,15.65,0.27,No,1
384,24000.0,MEDICAL,15.7,0.3,No,1
385,24000.0,VENTURE,12.53,0.22,No,0
386,24000.0,HOMEIMPROVEMENT,17.56,0.26,No,1
387,24000.0,PERSONAL,12.87,0.2,No,0
388,24000.0,PERSONAL,15.7,0.19,Yes,0
389,9000.0,EDUCATION,11.01,0.05,Yes,0
390,15000.0,VENTURE,11.14,0.08,Yes,0
391,20000.0,VENTURE,16.0,0.1,Yes,0
392,24000.0,EDUCATION,15.65,0.13,Yes,0
393,13750.0,DEBTCONSOLIDATION,11.01,0.07,Yes,0
394,15250.0,VENTURE,15.31,0.08,No,0
395,20000.0,VENTURE,13.47,0.1,Yes,0
396,4750.0,HOMEIMPROVEMENT,13.85,0.22,No,1
397,24000.0,PERSONAL,11.01,0.18,No,0
398,6000.0,VENTURE,10.39,0.28,No,1
399,24000.0,HOMEIMPROVEMENT,11.36,0.17,No,0
400,24000.0,EDUCATION,11.83,0.14,Yes,0
401,24000.0,EDUCATION,12.53,0.07,Yes,0
402,24000.0,HOMEIMPROVEMENT,14.96,0.18,No,1
403,24000.0,DEBTCONSOLIDATION,13.85,0.46,No,1
404,24000.0,VENTURE,11.58,0.42,No,1
405,24000.0,VENTURE,16.29,0.41,No,1
406,24000.0,MEDICAL,11.01,0.41,No,1
407,24000.0,EDUCATION,16.29,0.44,No,1
408,24000.0,PERSONAL,10.74,0.38,No,1
409,2250.0,EDUCATION,15.27,0.1,Yes,0
410,24000.0,PERSONAL,17.8,0.42,No,1
411,2000.0,VENTURE,11.36,0.05,Yes,0
412,24000.0,MEDICAL,17.56,0.4,No,1
413,24000.0,PERSONAL,7.9,0.33,No,1
414,24000.0,PERSONAL,10.99,0.33,No,1
415,24000.0,PERSONAL,7.29,0.33,No,1
416,24000.0,MEDICAL,10.75,0.33,No,1
417,24000.0,DEBTCONSOLIDATION,7.9,0.32,No,1
418,24000.0,EDUCATION,14.84,0.32,No,1
419,24000.0,DEBTCONSOLIDATION,11.01,0.3,No,1
420,4975.0,EDUCATION,11.01,0.23,No,1
421,24000.0,DEBTCONSOLIDATION,19.69,0.33,No,1
422,24000.0,VENTURE,11.01,0.3,No,1
423,24000.0,VENTURE,14.96,0.33,No,1
424,24000.0,EDUCATION,6.99,0.3,No,1
425,24000.0,PERSONAL,16.45,0.32,No,1
426,24000.0,EDUCATION,10.99,0.28,No,1
427,24000.0,DEBTCONSOLIDATION,10.99,0.27,No,1
428,3000.0,PERSONAL,7.9,0.13,No,1
429,24000.0,EDUCATION,12.69,0.26,No,1
430,24000.0,MEDICAL,10.37,0.26,No,1
431,24000.0,HOMEIMPROVEMENT,11.01,0.26,No,1
432,24000.0,DEBTCONSOLIDATION,15.83,0.29,No,1
433,24000.0,PERSONAL,13.92,0.25,No,1
434,2000.0,VENTURE,11.49,0.09,No,0
435,24000.0,MEDICAL,10.25,0.25,No,0
436,3500.0,HOMEIMPROVEMENT,7.49,0.15,No,1
437,4000.0,EDUCATION,5.99,0.18,No,1
438,24000.0,PERSONAL,12.92,0.26,No,1
439,24000.0,PERSONAL,11.58,0.22,No,0
440,24000.0,EDUCATION,8.9,0.21,No,0
441,24000.0,DEBTCONSOLIDATION,19.69,0.24,No,1
442,24000.0,VENTURE,6.54,0.21,Yes,0
443,4900.0,HOMEIMPROVEMENT,14.54,0.21,No,1
444,5000.0,EDUCATION,11.11,0.22,No,1
445,24000.0,PERSONAL,12.73,0.2,No,0
446,24000.0,VENTURE,15.62,0.18,Yes,0
447,6250.0,HOMEIMPROVEMENT,6.54,0.28,No,1
448,24000.0,DEBTCONSOLIDATION,11.01,0.2,No,1
449,24000.0,DEBTCONSOLIDATION,20.0,0.19,No,1
450,24000.0,EDUCATION,9.91,0.17,No,0
451,24000.0,VENTURE,12.69,0.17,Yes,0
452,24000.0,EDUCATION,20.0,0.18,No,1
453,24000.0,PERSONAL,16.49,0.16,Yes,0
454,2500.0,MEDICAL,15.95,0.11,No,1
455,24000.0,DEBTCONSOLIDATION,11.49,0.15,Yes,0
456,24000.0,PERSONAL,10.99,0.15,No,0
457,24000.0,HOMEIMPROVEMENT,13.79,0.15,Yes,0
458,24000.0,MEDICAL,20.0,0.17,No,1
459,24000.0,EDUCATION,7.49,0.13,Yes,0
460,24000.0,DEBTCONSOLIDATION,16.0,0.14,No,1
461,13000.0,PERSONAL,7.88,0.57,No,1
462,6250.0,VENTURE,10.62,0.28,No,1
463,24000.0,DEBTCONSOLIDATION,10.99,0.13,Yes,0
464,24000.0,EDUCATION,18.3,0.13,No,1
465,24000.0,DEBTCONSOLIDATION,11.01,0.12,Yes,0
466,2500.0,PERSONAL,11.36,0.11,Yes,0
467,23975.0,HOMEIMPROVEMENT,11.01,0.45,No,1
468,23750.0,MEDICAL,13.47,0.16,No,0
469,23600.0,PERSONAL,11.89,0.35,No,1
470,10000.0,DEBTCONSOLIDATION,12.18,0.44,No,1
471,23600.0,DEBTCONSOLIDATION,13.49,0.19,Yes,0
472,23575.0,PERSONAL,14.5,0.26,No,1
473,4000.0,MEDICAL,11.01,0.18,No,1
474,5400.0,MEDICAL,15.31,0.24,No,1
475,4000.0,MEDICAL,11.01,0.18,No,1
476,3375.0,VENTURE,11.01,0.15,No,1
477,23400.0,VENTURE,7.49,0.29,No,1
478,23000.0,PERSONAL,11.01,0.43,No,1
479,23000.0,EDUCATION,11.01,0.34,No,1
480,23000.0,VENTURE,12.18,0.32,No,1
481,2000.0,VENTURE,11.34,0.05,Yes,0
482,23000.0,EDUCATION,9.91,0.3,No,1
483,23000.0,HOMEIMPROVEMENT,11.99,0.29,No,1
484,23000.0,EDUCATION,9.62,0.28,No,1
485,3000.0,DEBTCONSOLIDATION,9.96,0.13,No,1
486,23000.0,VENTURE,11.01,0.24,Yes,0
487,23000.0,VENTURE,14.54,0.22,No,1
488,22750.0,MEDICAL,11.36,0.32,No,1
489,22500.0,DEBTCONSOLIDATION,14.27,0.27,No,1
490,3000.0,HOMEIMPROVEMENT,11.99,0.13,No,1
491,22500.0,EDUCATION,18.99,0.27,No,1
